timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,direction
1770562961.9670987,57.83435033,12.30725917,57.83435550,12.30725852,2.419,2.500,1.240,2.06,7,7,Stopped
1770562962.9630735,57.83435417,12.30726250,57.83435483,12.30726051,2.419,2.500,1.240,1.16,7,7,Stopped
1770562963.9705913,57.83435933,12.30726217,57.83435708,12.30726134,2.419,2.500,1.240,0.49,7,7,Stopped
1770562964.968474,57.83435933,12.30725883,57.83435821,12.30726009,2.419,2.500,1.240,0.23,7,7,Stopped
1770562965.974674,57.83435883,12.30725833,57.83435852,12.30725921,2.419,2.500,1.240,0.43,7,7,Stopped
1770562966.9685748,57.83435767,12.30725300,57.83435809,12.30725610,2.419,2.500,1.240,0.60,7,7,Stopped
1770562967.9717212,57.83436017,12.30725133,57.83435913,12.30725372,2.419,2.500,1.240,0.30,7,7,Stopped
1770562968.9662633,57.83435950,12.30724017,57.83435932,12.30724694,2.419,2.500,1.240,1.01,7,7,Reverse
1770562969.9671113,57.83436033,12.30724317,57.83435982,12.30724505,2.419,2.500,1.240,0.28,7,7,Stopped
1770562970.9741254,57.83436533,12.30723650,57.83436258,12.30724078,2.419,2.500,1.240,0.86,7,7,Reverse
1770562971.9667656,57.83436900,12.30722933,57.83436579,12.30723506,2.419,2.500,1.240,1.33,7,7,Reverse
1770562972.9500253,57.83436033,12.30723250,57.83436306,12.30723378,2.419,2.500,1.240,0.57,7,7,Stopped
1770562973.9721687,57.83436267,12.30722600,57.83436286,12.30722989,2.419,2.500,1.240,0.56,7,7,Reverse
1770562974.9706354,57.83436533,12.30722100,57.83436410,12.30722544,2.419,2.500,1.240,0.83,7,7,Reverse
1770562975.959887,57.83436350,12.30722967,57.83436380,12.30722756,2.419,2.500,1.240,0.48,7,7,Stopped
1770562976.9691038,57.83436400,12.30723250,57.83436390,12.30723003,2.419,2.500,1.240,0.50,7,7,Stopped
1770562977.9646134,57.83436283,12.30722283,57.83436337,12.30722643,2.419,2.500,1.240,0.71,7,7,Reverse
1770562978.9708054,57.83436417,12.30723183,57.83436377,12.30722913,2.419,2.500,1.240,0.35,7,7,Stopped
1770562979.9661198,57.83436767,12.30723683,57.83436572,12.30723298,2.419,2.500,1.240,0.68,7,7,Forward
1770562980.9796684,57.83437217,12.30723150,57.83436894,12.30723224,2.419,2.500,1.240,0.58,7,7,Stopped
1770562981.9748843,57.83437900,12.30723350,57.83437397,12.30723287,2.238,2.500,1.050,1.01,8,8,Stopped
1770562982.9712446,57.83438050,12.30723267,57.83437724,12.30723277,2.238,2.500,1.050,0.88,8,8,Stopped
