timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view
1770561783.9762533,57.83446700,12.30734617,57.83446062,12.30733693,2.333,2.500,1.150,0.96,7,7
1770561784.9711394,57.83446617,12.30733633,57.83446339,12.30733663,2.333,2.500,1.150,1.36,7,7
1770561785.9768574,57.83445000,12.30731417,57.83445670,12.30732540,2.333,2.500,1.150,3.09,7,7
1770561786.9707186,57.83445117,12.30730083,57.83445393,12.30731312,2.333,2.500,1.150,3.08,7,7
1770561787.979189,57.83444833,12.30729200,57.83445113,12.30730256,2.390,2.500,1.210,2.82,6,6
1770561788.971864,57.83443400,12.30727967,57.83444257,12.30729111,2.390,2.500,1.210,3.37,6,6
1770561789.9768612,57.83442717,12.30728600,57.83443487,12.30728856,2.390,2.500,1.210,2.37,6,6
1770561790.9712346,57.83442267,12.30728833,57.83442877,12.30728844,2.390,2.500,1.210,2.08,6,6
1770561791.9691768,57.83441850,12.30728450,57.83442363,12.30728647,3.924,2.500,2.820,2.07,5,5
1770561792.9731083,57.83441067,12.30727483,57.83441715,12.30728065,3.924,2.500,2.820,2.79,5,5
1770561793.9698293,57.83440367,12.30727217,57.83441041,12.30727641,3.924,2.500,2.820,3.02,5,5
1770561794.9770682,57.83440467,12.30726183,57.83440754,12.30726912,3.924,2.500,2.820,2.83,5,5
1770561795.9711978,57.83440850,12.30726150,57.83440802,12.30726531,3.924,2.500,2.820,1.77,5,5
1770561796.9743707,57.83441033,12.30725583,57.83440918,12.30726057,2.390,2.500,1.210,1.65,6,6
1770561797.973265,57.83440867,12.30726133,57.83440892,12.30726095,2.390,2.500,1.210,1.22,6,6
1770561798.978083,57.83441000,12.30726467,57.83440946,12.30726281,2.390,2.500,1.210,0.58,6,6
1770561799.971739,57.83440783,12.30726400,57.83440865,12.30726340,2.390,2.500,1.210,0.58,6,6
1770561800.977916,57.83441367,12.30727717,57.83441116,12.30727029,2.390,2.500,1.210,0.87,6,6
1770561801.9721274,57.83441383,12.30727883,57.83441250,12.30727456,2.390,2.500,1.210,0.81,6,6
1770561802.9685633,57.83441467,12.30727950,57.83441358,12.30727703,2.390,2.500,1.210,0.76,6,6
